area,attr_text,bedrooms,chinese_content,datetime,detail_content,geolocation_latitude,geolocation_longitude,has_image,mapaddress,name,price,url,where,attr_space,attr_type,geo_location,lat_long
715ft2,"1BR / 1Ba
715ft2
available jul 16

apartment
laundry on site
carport",1,False,2017-07-03 15:45,"Enjoy the great outdoors! Downtown Sunnyvale Apartments Call Now: 
show contact info
Landmark 925 S WOLFE RD, Sunnyvale, CA, 94086Want more information on this unit? See link (below):http://pinnaclefamily.aptdetails.com/7qr0hd This is a 1 Bedroom, 1 Bath, approximately 715 Sq. Ft.  Live in style at Landmark Apartment Homes! We offer much more than an apartment community; we offer an elevated lifestyle from the inside, out. Ideally situated in the heart of a quaint yet thriving pocket of Sunnyvale, our beautifully manicured landscape weaves a resort-style pool and spa area, tennis courts, fitness studio, expansive clubhouse, and, of course, our spacious and bright apartment homes. Each of our studio and one-bedroom homes feature a generous patio or balcony, walk-in closet, open kitchen area with breakfast bar, large linen and storage closets, contemporary vertical blinds, and modern appliances. We also offer reserved and covered carport parking.
The Landmark is conveniently located across from Sunken Gardens Golf Course, with easy access to Highways 280, 101 and 85, and moments from Light Rail and Caltrain stations. Nearby Vallco Shopping Mall, Cupertino Village and Downtown Sunnyvale create a bustling shopping and dining scene.
Combine all of these amenities with a dedicated and friendly staff, and you have the perfect place to call home. Call us to schedule a tour today--we're waiting to welcome you home! Features - Large Linen & Storage Closets  - Walk-In Closet  - Modern Appliances  - Contemporary Vertical Blinds  - Open Kitchen Area w/ Breakfast Bar  - Reserved & Covered Parking  - Patio/Balcony Community Amenities - Fitness Studio  - Resort-Style Pool & Spa Area  - Close to Sunken Gardens Golf Course  - Tennis Courts  - Moments From Light Rail & Caltrain Stations  - Easy Access to Highways 280, 101 and 85  - Nearby Vallco Shopping Mall, Cupertino Village, and Downtown Sunnyvale  - Expansive Clubhouse Office Hours MON-SAT 9:00 AM - 6:00 PMSUN 10:00 AM - 5:00 PM Equal Housing Opportunity UIR7RdYWx ",37.376400,-122.023800,True,"
        (google map)
        
",Enjoy our Lush Landscape,$2401,http://sfbay.craigslist.org/sby/apa/6203618789.html,sunnyvale,813ft2,1BR / 1Ba,37.376400-122.023800,"(37.376400, -122.023800)"
530ft2,"0BR / 1Ba
530ft2
available jul 3

cats are OK - purrr
dogs are OK - wooof
apartment
laundry on site
no smoking
carport",,False,2017-07-03 15:42,"Sunscreen Suggested! Downtown Sunnyvale Apartments Call Now: 
show contact info
Landmark 925 S WOLFE RD, Sunnyvale, CA, 94086Full Color Brochure Here:http://pinnaclefamily.aptdetails.com/kt6gac This is a Studio, 1 Bath, approximately 530 Sq. Ft.  Live in style at Landmark Apartment Homes! We offer much more than an apartment community; we offer an elevated lifestyle from the inside, out. Ideally situated in the heart of a quaint yet thriving pocket of Sunnyvale, our beautifully manicured landscape weaves a resort-style pool and spa area, tennis courts, fitness studio, expansive clubhouse, and, of course, our spacious and bright apartment homes. Each of our studio and one-bedroom homes feature a generous patio or balcony, walk-in closet, open kitchen area with breakfast bar, large linen and storage closets, contemporary vertical blinds, and modern appliances. We also offer reserved and covered carport parking.
The Landmark is conveniently located across from Sunken Gardens Golf Course, with easy access to Highways 280, 101 and 85, and moments from Light Rail and Caltrain stations. Nearby Vallco Shopping Mall, Cupertino Village and Downtown Sunnyvale create a bustling shopping and dining scene.
Combine all of these amenities with a dedicated and friendly staff, and you have the perfect place to call home. Call us to schedule a tour today--we're waiting to welcome you home! Features - Open Kitchen Area w/ Breakfast Bar  - Reserved & Covered Parking  - Walk-In Closet  - Modern Appliances  - Large Linen & Storage Closets  - Patio/Balcony  - Contemporary Vertical Blinds Community Amenities - Easy Access to Highways 280, 101 and 85  - Moments From Light Rail & Caltrain Stations  - Expansive Clubhouse  - Fitness Studio  - Nearby Vallco Shopping Mall, Cupertino Village, and Downtown Sunnyvale  - Resort-Style Pool & Spa Area  - Tennis Courts  - Close to Sunken Gardens Golf Course Office Hours MON-SAT 9:00 AM - 6:00 PMSUN 10:00 AM - 5:00 PM Equal Housing Opportunity XoRiUd3DC6I ",37.376400,-122.023800,True,"
        (google map)
        
",Its our Last $tudio! Dont miss out,$2150,http://sfbay.craigslist.org/sby/apa/6203615372.html,sunnyvale,813ft2,1BR / 1Ba,37.376400-122.023800,"(37.376400, -122.023800)"
1100ft2,"1BR / 1Ba
1100ft2
available aug 5

cats are OK - purrr
dogs are OK - wooof
apartment
w/d in unit
no smoking
carport",1,False,2017-07-03 15:38,"Summer is the most hectic and busiest time of the year to move.  Don't waste time looking all over and stressing out with your apartment search and let the team at Bristol Commons make your decision easy!
 We have a gorgeous ground floor 2x2 coming available early August!    

 The kitchen is updated with classy white quartz counters and stainless steel GE appliances, and wood plank flooring throughout the common areas look great and make for easy cleaning.
 A walk-in closet and storage off the patio ensures you'll have enough space to store all those odds and ends, and a full-size washer and dryer set means no more trips to the laundromat.
 A patio offers a space for sun and fresh air while you sip your morning coffee, with an extended patio perfect for plants and a grill.
 Apartment Features:
 - Full-size washer and dryer
 - Central AC and heating
 - Walk-in closet
 - Storage area
 - Extended patio
 - Wood plank flooring throughout kitchen and living area
 - Plush carpeting in bedrooms
 - Updated appliances including oven, microwave, dishwasher and fridge
 Community Amenities Include:
 - BBQ Picnic Area with 2 grills and a fire pit
 - Zen Garden
 - Play structure with soft ground cover
 - 24-HR Fitness Center
 - 24-HR WiFi Bar w/ Cable TV
 - 24-HR Emergency Maintenance; prompt service from our friendly maintenance team!
 - Charge Point electric vehicle charging station for 2 cars
 - Nightly Courtesy Patrol 
 Bristol Commons is located in the heart of Sunnyvale. We are less than a mile from historic Murphy Street with its multicultural dining, entertainment, and Saturday Farmers' Market. A short drive gets you to all the commuter arteries including Central Expy, Lawrence Expy, El Camino Real, and highways 237 and 101.  Learn more about this stellar community @ http://sunnyvale.ca.gov/AboutSunnyvale.aspx
 Apartment home #513 is available now for $3,536 per month for a 12 month lease. Flexible lease terms are available. All interior photos are examples and orientations may vary.
 ☏ Call Us Now At 
 show contact info
 or visit us online at:
 www.bristolcommonsapts.com
732 E. Evelyn Avenue
 Sunnyvale, California 94086
 Equal Housing Opportunity
 Pricing and availability is subject to change
*Branding elements, floor plans, layout plans, specifications, images, names, drawings, perspectives, models, graphics, logos, icons and other details herein are only indicative and the Developer/Promoter/Owner reserves the right to change all or any of them. All room dimensions are approximate only and may or may not include balcony square feet in total square footage. Prices and availability are subject to change. Prices vary based on move-in and lease terms. *The monthly rental rates provided on our website are an estimate of the likely rental rate for the available floor plans and provided as a service to prospective residents. We cannot guarantee that a rental rate displayed above will be the actual rate offered at the time a rental agreement is signed as our rates change daily based on economic factors of the community such as unit availability.*Breed restrictions apply. Pets are subject to deposit and pet rent. *The monthly rental rates provided on our website are an estimate of the likely rental rate for the available floor plans and provided as a service to prospective residents. We cannot guarantee that a rental rate displayed above will be the actual rate offered at the time a rental agreement is signed as our rates change daily based on economic factors of the community such as unit availability.    ",37.370913,-122.016206,True,"732 E. Evelyn
        (google map)
        
",Plenty of Sunshine on This Beautiful Ground Floor 2x2!,$3532,http://sfbay.craigslist.org/sby/apa/6203597948.html,sunnyvale,813ft2,1BR / 1Ba,37.370913-122.016206,"(37.370913, -122.016206)"
1100ft2,"1BR / 1Ba
1100ft2
available aug 5

cats are OK - purrr
dogs are OK - wooof
apartment
w/d in unit
no smoking
carport",1,False,2017-07-03 15:38,"Summer is the most hectic and busiest time of the year to move.  Don't waste time looking all over and stressing out with your apartment search and let the team at Bristol Commons make your decision easy!
 We have a gorgeous ground floor 2x2 coming available early August!    

 The kitchen is updated with classy white quartz counters and stainless steel GE appliances, and wood plank flooring throughout the common areas look great and make for easy cleaning.
 A walk-in closet and storage off the patio ensures you'll have enough space to store all those odds and ends, and a full-size washer and dryer set means no more trips to the laundromat.
 A patio offers a space for sun and fresh air while you sip your morning coffee, with an extended patio perfect for plants and a grill.
 Apartment Features:
 - Full-size washer and dryer
 - Central AC and heating
 - Walk-in closet
 - Storage area
 - Extended patio
 - Wood plank flooring throughout kitchen and living area
 - Plush carpeting in bedrooms
 - Updated appliances including oven, microwave, dishwasher and fridge
 Community Amenities Include:
 - BBQ Picnic Area with 2 grills and a fire pit
 - Zen Garden
 - Play structure with soft ground cover
 - 24-HR Fitness Center
 - 24-HR WiFi Bar w/ Cable TV
 - 24-HR Emergency Maintenance; prompt service from our friendly maintenance team!
 - Charge Point electric vehicle charging station for 2 cars
 - Nightly Courtesy Patrol 
 Bristol Commons is located in the heart of Sunnyvale. We are less than a mile from historic Murphy Street with its multicultural dining, entertainment, and Saturday Farmers' Market. A short drive gets you to all the commuter arteries including Central Expy, Lawrence Expy, El Camino Real, and highways 237 and 101.  Learn more about this stellar community @ http://sunnyvale.ca.gov/AboutSunnyvale.aspx
 Apartment home #513 is available now for $3,536 per month for a 12 month lease. Flexible lease terms are available. All interior photos are examples and orientations may vary.
 ☏ Call Us Now At 
 show contact info
 or visit us online at:
 www.bristolcommonsapts.com
732 E. Evelyn Avenue
 Sunnyvale, California 94086
 Equal Housing Opportunity
 Pricing and availability is subject to change
*Branding elements, floor plans, layout plans, specifications, images, names, drawings, perspectives, models, graphics, logos, icons and other details herein are only indicative and the Developer/Promoter/Owner reserves the right to change all or any of them. All room dimensions are approximate only and may or may not include balcony square feet in total square footage. Prices and availability are subject to change. Prices vary based on move-in and lease terms. *The monthly rental rates provided on our website are an estimate of the likely rental rate for the available floor plans and provided as a service to prospective residents. We cannot guarantee that a rental rate displayed above will be the actual rate offered at the time a rental agreement is signed as our rates change daily based on economic factors of the community such as unit availability.*Breed restrictions apply. Pets are subject to deposit and pet rent. *The monthly rental rates provided on our website are an estimate of the likely rental rate for the available floor plans and provided as a service to prospective residents. We cannot guarantee that a rental rate displayed above will be the actual rate offered at the time a rental agreement is signed as our rates change daily based on economic factors of the community such as unit availability.    ",37.370913,-122.016206,True,"732 E. Evelyn
        (google map)
        
",Plenty of Sunshine on This Beautiful Ground Floor 2x2!,$3552,http://sfbay.craigslist.org/sby/apa/6203596624.html,sunnyvale,813ft2,1BR / 1Ba,37.370913-122.016206,"(37.370913, -122.016206)"
670ft2,"1BR / 1Ba
670ft2
available aug 13

cats are OK - purrr
dogs are OK - wooof
apartment
w/d in unit
no smoking
carport",1,False,2017-07-03 15:34,"
We have a great first floor 1x1 going into renovation that will be available for you looking all brand new August 13th.
Apartment 317 is in a great sunny location facing South towards the beautiful zen garden.  
 A walk-in closet in your bedroom and storage off the patio ensures you'll have enough space to store all those odds and ends, and a full-size washer and dryer set means no more trips to the laundromat.
 Apartment Features:
 - Full-size washer and dryer
 - Central AC and heating
 - Walk-in closet
 - Storage area
 - Extended Patio
 - Wood plank flooring throughout kitchen and living area
 - Plush carpeting in bedroom
 - Updated appliances including oven, microwave, dishwasher and fridge
 Community Amenities Include:
 - BBQ Picnic Area with 2 grills and a fire pit
 - Zen Garden
 - Play structure with soft ground cover
 - 24-HR Fitness Center
 - 24-HR WiFi Bar w/ Cable TV
 - 24-HR Emergency Maintenance; prompt service from our friendly maintenance team!
 - Electric Vehicle Charging Station
 - Nightly Courtesy Patrol 
 Bristol Commons is located in the heart of Sunnyvale. We are less than a mile from historic Murphy Street with its multicultural dining, entertainment, and Saturday Farmers' Market. A short drive gets you to all the commuter arteries including Central Expy, Lawrence Expy, El Camino Real, and highways 237 and 101.  Learn more about this stellar community @ http://sunnyvale.ca.gov/AboutSunnyvale.aspx
 Apartment home #317 will be available August 13th for $2,563 per month for a 12 month lease. Flexible lease terms are available. All interior photos are examples and orientations may vary.
 ☏ Call Us Now At 
 show contact info
 or visit us online at:
 www.bristolcommonsapts.com
732 E. Evelyn Avenue
 Sunnyvale, California 94086
 Equal Housing Opportunity
 Pricing and availability is subject to change
*Branding elements, floor plans, layout plans, specifications, images, names, drawings, perspectives, models, graphics, logos, icons and other details herein are only indicative and the Developer/Promoter/Owner reserves the right to change all or any of them. All room dimensions are approximate only and may or may not include balcony square feet in total square footage. Prices and availability are subject to change. Prices vary based on move-in and lease terms. *The monthly rental rates provided on our website are an estimate of the likely rental rate for the available floor plans and provided as a service to prospective residents. We cannot guarantee that a rental rate displayed above will be the actual rate offered at the time a rental agreement is signed as our rates change daily based on economic factors of the community such as unit availability.*Breed restrictions apply. Pets are subject to deposit and pet rent. *The monthly rental rates provided on our website are an estimate of the likely rental rate for the available floor plans and provided as a service to prospective residents. We cannot guarantee that a rental rate displayed above will be the actual rate offered at the time a rental agreement is signed as our rates change daily based on economic factors of the community such as unit availability.    ",37.370913,-122.016206,True,"732 E. Evelyn
        (google map)
        
","New Renovation! 1x1: W/D in unit, Central AC/Heat, Updated Appliances!",$2563,http://sfbay.craigslist.org/sby/apa/6203599271.html,sunnyvale,813ft2,1BR / 1Ba,37.370913-122.016206,"(37.370913, -122.016206)"
1063ft2,"2BR / 2Ba
1063ft2
available aug 25

cats are OK - purrr
dogs are OK - wooof
apartment
w/d in unit
no smoking
detached garage",2,False,2017-07-03 15:20,"Heritage District Sunnyvale Apartments Nestled in the heart of Silicon Valley, Villa Del Sol offers a blissful lifestyle from the inside, out. Each of our thoughtfully designed, pet-friendly apartment homes features private entry, patio or balcony, ceiling fan, washer and dryer in unit, and expansive closet space. Our one, two and three bedroom homes also boast double-paned windows, modern GE appliances, additional onsite storage options, and dramatically vaulted ceilings in select units. Enjoy our outdoor hot tub, 24-hour fitness center and comfortably furnished business center. Urban commuters have easy access to Silicon Valley's technology employers, as Villa Del Sol is a brief walk to Caltrain Station and minutes from all major freeways. Downtown Murphy Street and Sunnyvale Town Center flourish with a vast array of shopping and dining options.Our friendly staff is waiting to welcome you home-- call us today to schedule a tour!  Call Now: 
show contact info
Want more information on this unit? See link (below):http://pinnaclefamily.aptdetails.com/g02u9w This is a 2 Bedroom, 2 Bath, approximately 1063 Sq. Ft. Features - Vaulted Ceilings *  - Private Entry  - Additional Onsite Storage *  - Modern GE Appliances *  - Expansive Closet Space  - Detached Garage  - Washer/Dryer in unit  - Ceiling Fan  - Patio/Balcony  - Double-Paned Windows * * In Select Units Community Amenities - Business Center  - 24-Hour Fitness Center  - Sparkling Pool  - Brief Walk to Caltrain Station  - Minutes Away From All Major Freeways  - Hot Tub  - Short Term Leases Available 3-12 Months Pet Policy Cats and Dogs Welcome$45/Cats and $50/Dogs $500 Deposit (2 pets Max)No Restricted Breeds Income Requirements: Three times the monthly rent. Office Hours MON-SAT 9:00 AM - 6:00 PMSUN 10:00 AM - 5:00 PM Villa Del Sol 355 E EVELYN AVE, Sunnyvale, CA, 94086Equal Housing Opportunity Tfl7Qmu4 ",37.376455,-122.027034,True,"355 E. Evelyn Ave.
        (google map)
        
","Business Center, Private Entry, Sparkling Pool, Patio/Balcony",$3795,http://sfbay.craigslist.org/sby/apa/6203589708.html,sunnyvale,813ft2,1BR / 1Ba,37.376455-122.027034,"(37.376455, -122.027034)"
715ft2,"1BR / 1Ba
715ft2
available aug 1

cats are OK - purrr
dogs are OK - wooof
apartment
laundry on site
no smoking
carport",1,False,2017-07-03 15:19,"Enjoy Your New Home! Downtown Sunnyvale Apartments Call Now: 
show contact info
Landmark 925 S WOLFE RD, Sunnyvale, CA, 94086Interested in more information? See link below:http://pinnaclefamily.aptdetails.com/p05837 This is a 1 Bedroom, 1 Bath, approximately 715 Sq. Ft.  Live in style at Landmark Apartment Homes! We offer much more than an apartment community; we offer an elevated lifestyle from the inside, out. Ideally situated in the heart of a quaint yet thriving pocket of Sunnyvale, our beautifully manicured landscape weaves a resort-style pool and spa area, tennis courts, fitness studio, expansive clubhouse, and, of course, our spacious and bright apartment homes. Each of our studio and one-bedroom homes feature a generous patio or balcony, walk-in closet, open kitchen area with breakfast bar, large linen and storage closets, contemporary vertical blinds, and modern appliances. We also offer reserved and covered carport parking.
The Landmark is conveniently located across from Sunken Gardens Golf Course, with easy access to Highways 280, 101 and 85, and moments from Light Rail and Caltrain stations. Nearby Vallco Shopping Mall, Cupertino Village and Downtown Sunnyvale create a bustling shopping and dining scene.
Combine all of these amenities with a dedicated and friendly staff, and you have the perfect place to call home. Call us to schedule a tour today--we're waiting to welcome you home! Features - Walk-In Closet  - Modern Appliances  - Reserved & Covered Parking  - Contemporary Vertical Blinds  - Patio/Balcony  - Open Kitchen Area w/ Breakfast Bar  - Large Linen & Storage Closets Community Amenities - Fitness Studio  - Tennis Courts  - Moments From Light Rail & Caltrain Stations  - Resort-Style Pool & Spa Area  - Easy Access to Highways 280, 101 and 85  - Expansive Clubhouse  - Close to Sunken Gardens Golf Course  - Nearby Vallco Shopping Mall, Cupertino Village, and Downtown Sunnyvale Office Hours MON-SAT 9:00 AM - 6:00 PMSUN 10:00 AM - 5:00 PM Equal Housing Opportunity Xbt6MqvwBITe ",37.376400,-122.023800,True,"
        (google map)
        
",One bedroom coming soon,$2306,http://sfbay.craigslist.org/sby/apa/6203587548.html,sunnyvale,813ft2,1BR / 1Ba,37.376400-122.023800,"(37.376400, -122.023800)"
650ft2,"1BR / 1Ba
650ft2
available jul 3

open house dates

tuesday 2017-07-04

saturday 2017-07-08

duplex
w/d in unit
no smoking
attached garage",1,False,2017-07-03 15:17,"Great duplex for rent in quiet neighborhood. This is a one bedroom/one bath/ large bedroom/kitchen and living room
The unit has hardwood floors, ceiling fans, tiled bathroom, washer, dryer, stove and refrigerator .  One car attached garage with automatic opener; shared patio. One year Lease - monthly rent $1600.00; $1000. Security Deposit.  Available immediately.
Open House 7/4/2017 and 7/8/2017 between 12:00pm and 4:00pm. Address:  429 Lincoln Ave., Sunnyvale, CA 94086
Contact Sharon 
 show contact info
",37.374298,-122.025871,False,"429 Lincoln Ave
        (google map)
        
",Great Duplex,$1600,http://sfbay.craigslist.org/sby/apa/6203585136.html,sunnyvale,813ft2,1BR / 1Ba,37.374298-122.025871,"(37.374298, -122.025871)"
,"1BR / 0Ba
available jul 21


monday 2017-07-03

apartment",1,False,2017-07-03 15:16," Welcome home to Lincoln Glen Apartments! 1B1B  1  bed / 1 bath /  $2,484 150 East Remington DriveSunnyvale, ca 94087Want more information? http://unit-availability.com/lead/5n01v3748379/1?extnId=7106414 Call Us Today! 
 show contact info
x670  Property Description  When you're not relaxing in the comfort of this beautiful garden-style one-bedroom apartment, help yourself to the benefits of a free fitness center, on-site tennis court, and a refreshing swimming pool. This home has everything you need and expect, including air conditioning. Call now  Property Amenities  * Close to shopping and restaurants  * Covered Parking  * Swimming Pool  * Cable Ready  * Close to 85, 101, and 280 freeways  * 24 hour emergency service  * Air Conditioning  * Relaxing Sauna Parking:Type - Covered Lot Covered parking for most cars. Please call for parking information. Pet Policy:No pets allowed.Management Company: Woodmont Real Estate Services*  Call Us Today! 
show contact info
x670 Equal Housing Opportunity ",37.358888,-122.031478,True,"150 East Remington Drive
        (google map)
        
",CUPERTINO SCHOOL DISTRICT!,$2484,http://sfbay.craigslist.org/sby/apa/6203584054.html,sunnyvale,813ft2,1BR / 1Ba,37.358888-122.031478,"(37.358888, -122.031478)"
1200ft2,"3BR / 2Ba
1200ft2
available aug 15

house
w/d in unit
no smoking
attached garage",3,False,2017-07-03 14:59,"This beautiful home was remodeled in 2010, including updated kitchen, bathrooms, new double paned windows, new appliances, etc. House will be available to rent beginning early August.
We will be showing the house by appointment only. Please email if you are interested in seeing the property. 
Features include:
-Full size 2 car garage with large cabinets for storage
-Central heating and A/C (all updated in 2012), including a Wifi Nest thermostat
-Solid oak hardwood floors, travertine bathroom floors & showers, marble vanities, and granite kitchen countertops
-Backyard is stunning, perfect for entertaining with mature trees and landscaping including full privacy from neighbors. 
-Includes weekly landscaping
-Only a short 1.7 miles away from the new Apple campus and Sunnyvale Caltrain station 
-No smoking
-12 month lease    ",37.376400,-122.023800,True,"858 S WOLFE RD
        (google map)
        
",$4150 Remodeled 3 bed/2 bath 1200 sq ft w/ backyard oasis near Apple,$4150,http://sfbay.craigslist.org/sby/apa/6203563320.html,sunnyvale,813ft2,1BR / 1Ba,37.376400-122.023800,"(37.376400, -122.023800)"
